StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q1.1,Q3.1,Q5.1_4,Q6.1_4,Q7.1_4,Q8.1_4,Q9.1_4,Q10.1_4,Q11.1_4,Q12.1_4,Q13.1_4,Q14.1_4,Q15.1_4,Q16.1_4,Q17.1_4,Q18.1_4,Q19.1_4,Q20.1_4,Q21.1_4,Q22.1_4,Q23.1_4,Q24.1_4,Q25.1_4,Q26.1_4,Q27.1_4,Q28.1_4,Q29.1_4,Q30.1_4,Q31.1_4,Q32.1_4,Q33.1_4,Q34.1_4,Q35.1_4,Q36.1_4,Q37.1_4,Q38.1_4,Q39.1_4,Q40.1_4,Q41.1_4,Q42.1_4,Q43.1_4,Q44.1_4,Q45.1_4,Q46.1_4,Q47.1_4,Q48.1_4,Q49.1_4,Q50.1_4,Q51.1_4,Q52.1_4,Q53.1_4,Q54.1_4,Q55.1_4,Q56.1_4,Q57.1_4,Q58.1_4,Q59.1_4,Q60.1_4,Q61.1_4,Q62.1_4,Q63.1_4,Q64.1_4,Q65.2_1,Q65.3_1,Q66.2,Q66.3,Q66.3_3_TEXT,Q66.4,Q66.4_5_TEXT,Q66.4_9_TEXT,Q66.4_14_TEXT,Q66.4_17_TEXT,Q66.4_19_TEXT,Q66.5,Q66.6,Q66.7,Q66.7_13_TEXT,Q66.8,Q66.9_1,Q66.10,Q66.11,Q66.12,Q66.13,Q9.1_1,Q9.1_2,Q9.1_3,Q9.1_4,Q9.1_5,Q9.1_6,Q9.1_7,Q9.1_8,Q66.15_1,Q66.15_2,Q66.15_3,Q66.15_4,Q66.15_5,Q66.15_6,Q66.15_7,Q66.16,Q66.17_1,Q66.18_1,Q66.19,Q66.20_1,Q66.21,Q66.22,Q66.22_9_TEXT,Q66.23,Q66.23_9_TEXT,Q66.24_1,Q66.24_2,Q66.24_3,Q66.24_4,Q66.24_5,Q66.24_6,PROLIFIC_PID
20/01/2024 18:16,20/01/2024 18:40,100,1424,TRUE,20/01/2024 18:40,R_8fedYAPrpCy5tXe,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,56a8930d7f2472000c93764e,85,,,55,,85,100,,,50,,100,50,,,45,,50,90,,,,75,90,75,,,65,,75,60,,,60,,60,70,,,,65,70,80,,,60,,70,85,,25,,,80,100,,,,65,100,80,0,50,Male,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,S8,28000,Unable to work through sickness/disability,,No,50,"4.	Finding it quite difficult",3. Somewhat dissatisfied,2,Fair,More than half the days,More than half the days,Nearly every day,Nearly every day,More than half the days,More than half the days,Several days,Not at all,More than half the days,More than half the days,More than half the days,Several days,Not at all,Several days,Several days,Often true,10,10,"No - because there were very specific things that I do not believe were right, would work, or would actually make things better - & so, for example, I am 100% behind electoral reform, but (whilst appointments need reforming) I do not support an elected House of Lords since this would effectively duplicate the House of Commons in make-up & reduce scrutiny... ...& my understanding is that there are some professions where you *have* to put in a number of hours each year to remain qualified to practice - so, due to job insecurity as an MP, a blanket ban would effective prevent people in some professions from becoming MPs (unless, I guess, they were incompetent at their profession).",45,I always vote at General Elections,Green Party,,Green Party,,2. Disagree,4. Agree,2. Disagree,5. Strongly agree,3. Neither agree nor disagree,2. Disagree,56a8930d7f2472000c93764e
20/01/2024 18:16,20/01/2024 18:41,100,1449,TRUE,20/01/2024 18:41,R_4QotMhdiIuLPrHA,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,5ee27217fd7c7c72eb755cbe,100,100,,,,100,100,,100,,,100,100,,,,100,100,100,,,100,,100,90,,95,,,95,85,,90,,,90,85,,85,,,85,91,,,95,,95,96,,,100,,100,95,,,,100,100,95,100,63,Female,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,NG17,34800,In full-time paid work (30 or more hours a week),,Yes,10,"2.	Doing alright",5. Somewhat satisfied,7,Good,Not at all,Not at all,Several days,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Several days,Often true,100,90,None come to mind.,50,I always vote at General Elections,Labour Party,,Don't know,,3. Neither agree nor disagree,2. Disagree,2. Disagree,5. Strongly agree,2. Disagree,5. Strongly agree,5ee27217fd7c7c72eb755cbe
20/01/2024 18:16,20/01/2024 18:42,100,1560,TRUE,20/01/2024 18:42,R_4pEL9nFwKfhJpIJ,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,610a879e6500d1d653b3da54,15,,,30,,20,25,,5,,,10,85,,,90,,90,80,,90,,,90,40,,,75,,60,75,80,,,,85,85,,75,,,85,90,,95,,,95,70,,90,,,80,45,75,,,,65,65,70,56,Male,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,b14,13000,"Other, please type in below",retired,Yes,20,"3.	Just about getting by",4. Neither satisfied nor dissatisfied,6,Good,Not at all,Not at all,Several days,Several days,Several days,Several days,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Often true,70,80,get rid of all of the current politicians and mainstream media outlets,60,I sometimes vote at General Elections,I chose not to vote at the last General Election,,Don't know,,5. Strongly agree,2. Disagree,5. Strongly agree,5. Strongly agree,2. Disagree,5. Strongly agree,610a879e6500d1d653b3da54
20/01/2024 18:16,20/01/2024 18:43,100,1610,TRUE,20/01/2024 18:43,R_8q8KqzzuhUFp33n,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,5d06743eac143b000118ce79,100,,,100,,100,70,,,,90,86,100,,,50,,100,100,,,75,,100,61,,,40,,60,81,,,,71,75,86,,,,94,95,30,,30,,,29,100,100,,,,100,50,,80,,,70,80,80,37,Female,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,NG4,34000,Unemployed and looking for work,,Yes,25,"2.	Doing alright",4. Neither satisfied nor dissatisfied,6,Good,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Often true,85,75,,15,I always vote at General Elections,Labour Party,,Labour Party,,2. Disagree,4. Agree,1. Strongly disagree,4. Agree,3. Neither agree nor disagree,5. Strongly agree,5d06743eac143b000118ce79
20/01/2024 18:17,20/01/2024 18:43,100,1574,TRUE,20/01/2024 18:43,R_8e3Ns5F4ea35eZH,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,5d1c9d39ff67e3000140ca87,100,,,,100,100,100,100,,,,100,100,100,,,,100,100,,100,,,100,90,,,,60,60,100,,,,100,100,95,95,,,,90,90,70,,,,70,100,,,,100,100,100,,,,100,100,100,0,59,Male,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,CW2 ,42000,In irregular or occasional work,,Yes,100,"4.	Finding it quite difficult",2. Mostly dissatisfied,10,Fair,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Rarely true,90,70,I have been in favour of these policies since the early 80s & the great snatcher disaster that came upon us in 1979. So this is just preaching to the converted.,10,I always vote at General Elections,Brexit Party,,Labour Party,,2. Disagree,5. Strongly agree,1. Strongly disagree,2. Disagree,1. Strongly disagree,1. Strongly disagree,5d1c9d39ff67e3000140ca87
20/01/2024 18:16,20/01/2024 18:43,100,1636,TRUE,20/01/2024 18:43,R_2QmwR7DdWqm94zE,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,5f00dcdde2787b22556593e7,90,80,,,,90,40,,,,60,50,70,80,,,,80,90,100,,,,100,60,,,,50,50,70,70,,,,70,60,,,,70,60,90,,,,80,80,100,,,100,,100,0,,,,50,20,70,75,45,Male,,"5. Any other White background, please type in below",Eastern European,,,,,B43,40000,In full-time paid work (30 or more hours a week),,Yes,20,"3.	Just about getting by",5. Somewhat satisfied,3,Good,Several days,Several days,Not at all,More than half the days,Not at all,Not at all,Several days,Several days,Nearly every day,More than half the days,More than half the days,More than half the days,Nearly every day,Several days,Several days,Always true,70,70,It shouldn’t increase tax for low and medium income families,80,I never vote at General Elections,I chose not to vote at the last General Election,,Conservative Party,,1. Strongly disagree,4. Agree,1. Strongly disagree,2. Disagree,4. Agree,2. Disagree,5f00dcdde2787b22556593e7
20/01/2024 18:30,20/01/2024 18:44,100,845,TRUE,20/01/2024 18:44,R_23CsiLxKskaT4y7,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,59e32f80d838ae000185083c,74,,,78,,75,78,,,83,,81,78,,,72,,75,80,,77,,,75,73,,,,77,79,76,73,,,,78,83,,,74,,76,75,,,76,,76,73,,,,74,74,76,,75,,,77,75,75,41,Male,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,WV11,30000,In full-time paid work (30 or more hours a week),,No,7,"3.	Just about getting by",2. Mostly dissatisfied,3,Good,Several days,Several days,Not at all,Several days,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Several days,Not at all,Always true,71,61,dont know,50,I never vote at General Elections,I chose not to vote at the last General Election,,I will choose not to vote at the next General Election,,5. Strongly agree,1. Strongly disagree,5. Strongly agree,5. Strongly agree,1. Strongly disagree,5. Strongly agree,59e32f80d838ae000185083c
20/01/2024 18:19,20/01/2024 18:46,100,1642,TRUE,20/01/2024 18:46,R_3ffIvf0vMAjEjs2,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,567f59e0d18c640011e7ac0b,100,100,,,,100,100,80,,,,100,100,,,97,,100,100,,,,100,100,100,,,100,,100,95,,,,100,99,75,,,100,,100,76,86,,,,94,75,,74,,,86,85,,,99,,99,100,95,35,Female,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,DE55,25000,A homemaker,,No,87,"4.	Finding it quite difficult",1. Completely dissatisfied,5,Good,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Always true,72,86,,50,I always vote at General Elections,Labour Party,,Labour Party,,2. Disagree,4. Agree,1. Strongly disagree,2. Disagree,3. Neither agree nor disagree,2. Disagree,567f59e0d18c640011e7ac0b
20/01/2024 18:26,20/01/2024 18:47,100,1249,TRUE,20/01/2024 18:47,R_47jqGV2S2Pw6dxC,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,5b07b3959649530001a3c8c5,65,61,,,,60,100,,100,,,100,100,,100,,,100,100,100,,,,100,100,,100,,,100,100,,,,100,100,75,,88,,,89,100,100,,,,100,100,,100,,,100,100,100,,,,100,100,77,56,Female,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,FY4 ,48000,In full-time paid work (30 or more hours a week),,Yes,12,"2.	Doing alright",5. Somewhat satisfied,5,Very good,Several days,Several days,Several days,Several days,Not at all,Several days,Several days,Not at all,Several days,Several days,Several days,Several days,Not at all,Not at all,Several days,Often true,77,82,"Unemployment, long term I’ll health, death of partner, ",51,I always vote at General Elections,Green Party,,Green Party,,2. Disagree,4. Agree,4. Agree,4. Agree,3. Neither agree nor disagree,4. Agree,5b07b3959649530001a3c8c5
20/01/2024 18:20,20/01/2024 18:48,100,1692,TRUE,20/01/2024 18:48,R_3ndXOlrGVDzyMOB,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,5a94d2e989de8200013ecab6,100,,,47,,88,100,72,,,,100,100,,77,,,100,100,,,,79,100,60,,,90,,82,100,,52,,,100,82,,,,93,94,100,,100,,,100,91,,,,95,93,100,,,66,,100,97,28,29,Male,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,NP26,12000,Unable to work through sickness/disability,,No,91,5. Finding it very difficult,2. Mostly dissatisfied,2,Bad,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Nearly every day,Not at all,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Several days,Nearly every day,More than half the days,Always true,31,50,"No, I'd support the policies either way, ",25,I never vote at General Elections,I chose not to vote at the last General Election,,Green Party,,5. Strongly agree,1. Strongly disagree,4. Agree,5. Strongly agree,3. Neither agree nor disagree,3. Neither agree nor disagree,5a94d2e989de8200013ecab6
20/01/2024 18:16,20/01/2024 18:48,100,1937,TRUE,20/01/2024 18:48,R_4tFOdAzz95eI6ZR,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,5c5ff87f8c0552000109d7de,100,,100,,,100,60,70,,,,75,60,,65,,,65,90,,,100,,100,100,,,100,,100,100,,,100,,100,85,,96,,,95,100,,,100,,100,55,,,,80,75,90,95,,,,100,95,40,31,Female,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,S43,31000,In full-time paid work (30 or more hours a week),,No,35,"3.	Just about getting by",2. Mostly dissatisfied,4,Good,Several days,Several days,Not at all,Not at all,Not at all,Several days,Not at all,Not at all,Several days,Several days,Several days,Not at all,Not at all,Not at all,Several days,Often true,60,50,I am in support of the programme of policies ,50,I never vote at General Elections,I chose not to vote at the last General Election,,I will choose not to vote at the next General Election,,3. Neither agree nor disagree,4. Agree,3. Neither agree nor disagree,4. Agree,3. Neither agree nor disagree,4. Agree,5c5ff87f8c0552000109d7de
20/01/2024 18:17,20/01/2024 18:49,100,1934,TRUE,20/01/2024 18:49,R_22Qf5JTYGoewEL7,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,5f3ec93efbd299158253f283,80,,,82,,85,90,,,,88,90,40,,,,75,55,85,,93,,,95,70,,79,,,75,80,,,88,,85,80,85,,,,86,75,,,,80,78,90,,,90,,95,45,,,,80,48,30,60,51,Male,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,NG17,30000,In full-time paid work (30 or more hours a week),,Yes,5,"2.	Doing alright",5. Somewhat satisfied,6,Good,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Often true,80,75,having children,55,I always vote at General Elections,Independent candidate,,Don't know,,2. Disagree,4. Agree,2. Disagree,2. Disagree,4. Agree,3. Neither agree nor disagree,5f3ec93efbd299158253f283
20/01/2024 18:27,20/01/2024 18:49,100,1299,TRUE,20/01/2024 18:49,R_5hR0dQpSp1XmGPS,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,594bc4cf63653500016de406,23,,,,33,21,62,,,72,,84,100,,,100,,100,100,,,69,,76,100,100,,,,100,87,,89,,,84,90,85,,,,92,93,,84,,,80,76,84,,,,85,81,,,74,,74,95,93,35,Female,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,Dy1 ,32000,In full-time paid work (30 or more hours a week),,Yes,64,"3.	Just about getting by",5. Somewhat satisfied,6,Fair,Several days,Not at all,More than half the days,More than half the days,Several days,Several days,Not at all,Not at all,More than half the days,More than half the days,More than half the days,Several days,Several days,Several days,Several days,Often true,55,58,N/A - I support most of them ,54,I always vote at General Elections,Conservative Party,,Don't know,,4. Agree,2. Disagree,5. Strongly agree,5. Strongly agree,3. Neither agree nor disagree,4. Agree,594bc4cf63653500016de406
20/01/2024 18:29,20/01/2024 18:49,100,1203,TRUE,20/01/2024 18:49,R_4Kd6qm2RxC1sV7e,,,,,anonymous,EN,I have read the information above and would like to take part in the survey,558bb476fdf99b21155f2dbf,82,,60,,,81,85,,61,,,71,49,,,,39,50,49,37,,,,65,44,,50,,,40,22,,,70,,50,49,,,,60,52,62,,,39,,50,25,,,,20,20,59,,60,,,52,40,29,72,Female,,"1. English, Welsh, Scottish, Northern Irish or British",,,,,,ln7,28000,"Other, please type in below",retired,No,4,"2.	Doing alright",6. Mostly satisfied,7,Fair,Not at all,Not at all,Several days,Several days,Not at all,Not at all,Several days,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Often true,81,91,none,44,I always vote at General Elections,Liberal Democrats,,Don't know,,1. Strongly disagree,4. Agree,2. Disagree,2. Disagree,4. Agree,4. Agree,558bb476fdf99b21155f2dbf
