StartDate	EndDate	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	DistributionChannel	UserLanguage	Q1.1	Q3.1	Q5.1_4	Q6.1_4	Q7.1_4	Q8.1_4	Q9.1_4	Q10.1_4	Q11.1_4	Q12.1_4	Q13.1_4	Q14.1_4	Q15.1_4	Q16.1_4	Q17.1_4	Q18.1_4	Q19.1_4	Q20.1_4	Q21.1_4	Q22.1_4	Q23.1_4	Q24.1_4	Q25.1_4	Q26.1_4	Q27.1_4	Q28.1_4	Q29.1_4	Q30.1_4	Q31.1_4	Q32.1_4	Q33.1_4	Q34.1_4	Q35.1_4	Q36.1_4	Q37.1_4	Q38.1_4	Q39.1_4	Q40.1_4	Q41.1_4	Q42.1_4	Q43.1_4	Q44.1_4	Q45.1_4	Q46.1_4	Q47.1_4	Q48.1_4	Q49.1_4	Q50.1_4	Q51.1_4	Q52.1_4	Q53.1_4	Q54.1_4	Q55.1_4	Q56.1_4	Q57.1_4	Q58.1_4	Q59.1_4	Q60.1_4	Q61.1_4	Q62.1_4	Q63.1_4	Q64.1_4	Q65.2_1	Q65.3_1	Q66.2	Q66.3	Q66.3_3_TEXT	Q66.4	Q66.4_5_TEXT	Q66.4_9_TEXT	Q66.4_14_TEXT	Q66.4_17_TEXT	Q66.4_19_TEXT	Q66.5	Q66.6	Q66.7	Q66.7_13_TEXT	Q66.8	Q66.9_1	Q66.10	Q66.11	Q66.12	Q66.13	Q9.1_1	Q9.1_2	Q9.1_3	Q9.1_4_1	Q9.1_5	Q9.1_6	Q9.1_7	Q9.1_8	Q66.15_1	Q66.15_2	Q66.15_3	Q66.15_4	Q66.15_5	Q66.15_6	Q66.15_7	Q66.16	Q66.17_1	Q66.18_1	Q66.19	Q66.20_1	Q66.21	Q66.22	Q66.22_9_TEXT	Q66.23	Q66.23_9_TEXT	Q66.24_1	Q66.24_2	Q66.24_3	Q66.24_4	Q66.24_5	Q66.24_6	PROLIFIC_PID	is_redwall
25/01/2024 18:35	25/01/2024 18:49	100	857	true	25/01/2024 18:49	R_72PxvhUuAe0LK4a					anonymous	EN	I have read the information above and would like to take part in the survey	6568db02f86b9b0b85174ab0	85				66	65	47	65				61	80	74				74	97	79				100	100		100			100	100				79	90	38				39	33	83			79		80	100				100	100	100			100		100	100	100	38	Female		1. English, Welsh, Scottish, Northern Irish or British						AB	151275	In full-time paid work (30 or more hours a week)		Yes	18	"3.	Just about getting by"	5. Somewhat satisfied	6	Very good	Several days	Several days	Several days	Several days	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Several days	Several days	Not at all	Not at all	Not at all	Often true	63	63	Growing family	45	I always vote at General Elections	Liberal Democrats		Labour Party		2. Disagree	4. Agree	2. Disagree	2. Disagree	4. Agree	4. Agree	6568db02f86b9b0b85174ab0	false
25/01/2024 18:36	25/01/2024 18:50	100	852	true	25/01/2024 18:50	R_2OD3dJs5cAPbvpv					anonymous	EN	I have read the information above and would like to take part in the survey	5f172fe7c89bde065a7e120e	80	92				100	100				100	81	92			100		92	100		100			100	60		90			80	100	100				100	71			71		60	100	100				100	100	100				100	100		100			100	80	19	67	Male		1. English, Welsh, Scottish, Northern Irish or British						tq2	32000	In full-time paid work (30 or more hours a week)		Yes	5	"2.	Doing alright"	5. Somewhat satisfied	4	Good	Not at all	Not at all	Several days	Several days	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Several days	Not at all	Not at all	Not at all	Rarely true	80	50	retirement	30	I always vote at General Elections	Conservative Party		Labour Party		2. Disagree	4. Agree	2. Disagree	3. Neither agree nor disagree	2. Disagree	4. Agree	5f172fe7c89bde065a7e120e	false
25/01/2024 18:23	25/01/2024 18:50	100	1607	true	25/01/2024 18:50	R_6eOgF1cr7WtC4fL					anonymous	EN	I have read the information above and would like to take part in the survey	5d61a78c6512d700179fad0e	70				67	58	66		71			77	82		83			90	100	100				100	100				100	77	73			82		85	100				90	100	69	100				86	82		100			100	72		100			100	100	100	32	Female		5. Any other White background, please type in below	Romanian					N12	27000	In full-time paid work (30 or more hours a week)		No	48	"2.	Doing alright"	5. Somewhat satisfied	5	Bad	Several days	Several days	Not at all	Several days	More than half the days	Several days	Several days	Not at all	Not at all	Several days	Several days	Several days	Several days	Not at all	Several days	Often true	30	50		50	Prefer not to say	Prefer not to say		Prefer not to say		2. Disagree	4. Agree	2. Disagree	3. Neither agree nor disagree	3. Neither agree nor disagree	4. Agree	5d61a78c6512d700179fad0e	false
25/01/2024 18:38	25/01/2024 18:51	100	746	true	25/01/2024 18:51	R_3EJQVDHBZL6vPGV					anonymous	EN	I have read the information above and would like to take part in the survey	6301185b6013d0487dcd3873	20		49			45	33		33			40	24	73				59	72		39			37	99		97			100	100	78				79	71	85				74	61				61	56	47			36		51	44		70			61	75	46	68	Female		1. English, Welsh, Scottish, Northern Irish or British						WF9	35000	In part-time paid work (less than 30 hours a week)		Yes	3	"1.	Living comfortably"	6. Mostly satisfied	6	Very good	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Often true	100	100		50	I sometimes vote at General Elections	Labour Party		Don't know		5. Strongly agree	3. Neither agree nor disagree	5. Strongly agree	5. Strongly agree	3. Neither agree nor disagree	3. Neither agree nor disagree	6301185b6013d0487dcd3873	false
25/01/2024 18:33	25/01/2024 18:51	100	1102	true	25/01/2024 18:51	R_2nW0BssK9ushbI6					anonymous	EN	I have read the information above and would like to take part in the survey	6400d939976e84f549af8d91	86		96			96	77			88		86	67				55	60	46	68				70	56	77				84	76				66	68	61	20				42	57				72	81	47		59			57	70	82				80	60	34	23	Female		1. English, Welsh, Scottish, Northern Irish or British						ol16	30000	Self-employed		No	34	"3.	Just about getting by"	5. Somewhat satisfied	6	Fair	Several days	Not at all	Several days	Several days	Not at all	Not at all	Several days	Not at all	Several days	Several days	Several days	Several days	Several days	Several days	Not at all	Often true	55	65	better public transport would make life easier with expenses 	51	I sometimes vote at General Elections	Prefer not to say		Don't know		3. Neither agree nor disagree	5. Strongly agree	2. Disagree	2. Disagree	3. Neither agree nor disagree	4. Agree	6400d939976e84f549af8d91	false
25/01/2024 18:37	25/01/2024 18:51	100	849	true	25/01/2024 18:51	R_1bTpL1VesD4mpP3					anonymous	EN	I have read the information above and would like to take part in the survey	5f383b79e97de70fc8800309	71			72		75	53	55				51	31				66	69	40			24		26	45	29				34	31		22			43	73				14	53	35	17				36	14		13			22	23	22				28	62	35	23	Female		1. English, Welsh, Scottish, Northern Irish or British						HU	22	In full-time paid work (30 or more hours a week)		No	15	"1.	Living comfortably"	4. Neither satisfied nor dissatisfied	5	Good	More than half the days	Not at all	More than half the days	More than half the days	More than half the days	Not at all	Not at all	Not at all	Several days	Not at all	Not at all	Several days	Not at all	Not at all	Not at all	Always true	45	50		50	I always vote at General Elections	Green Party		Green Party		4. Agree	3. Neither agree nor disagree	2. Disagree	3. Neither agree nor disagree	3. Neither agree nor disagree	3. Neither agree nor disagree	5f383b79e97de70fc8800309	false
25/01/2024 18:30	25/01/2024 18:51	100	1272	true	25/01/2024 18:51	R_41X9onZ2iYRiQRr					anonymous	EN	I have read the information above and would like to take part in the survey	5af9769433b0ee00011ee77a	83	51				70	10				13	10	10		2			2	3			3		3	40			20		35	0				0	0	10				15	1	0		0			1	50	1				40	52				0	60	10	5	40	Male		1. English, Welsh, Scottish, Northern Irish or British						rh19	100000	In full-time paid work (30 or more hours a week)		Yes	0	"2.	Doing alright"	3. Somewhat dissatisfied	6	Good	Several days	Several days	Not at all	Several days	Not at all	Not at all	Several days	Not at all	Several days	Not at all	Not at all	Several days	Not at all	More than half the days	Several days	Often true	41	62	I could never support the entire programme of policies evaluated. Some are just farcical	50	I always vote at General Elections	Conservative Party		Don't know		5. Strongly agree	1. Strongly disagree	1. Strongly disagree	5. Strongly agree	1. Strongly disagree	4. Agree	5af9769433b0ee00011ee77a	false
25/01/2024 18:32	25/01/2024 18:51	100	1167	true	25/01/2024 18:51	R_2K6KB83adKTaa0B					anonymous	EN	I have read the information above and would like to take part in the survey	5f2464890be92b026a674d69	75			90		80	50			65		60	85				95	95	65				85	80	50		75			75	65	75				85	80	75				75	95				85	90	70	90				90	60				70	70	95	75	52	Female		1. English, Welsh, Scottish, Northern Irish or British						PE32	45000	In part-time paid work (less than 30 hours a week)		Yes	55	"4.	Finding it quite difficult"	3. Somewhat dissatisfied	5	Good	Not at all	Several days	Several days	More than half the days	More than half the days	Several days	More than half the days	Not at all	Several days	Several days	More than half the days	More than half the days	Several days	Nearly every day	Several days	Often true	75	80	I already support the policies but I imagine losing my job would mean I would be more vulnerable to the problems these policies are trying to help with.	60	I always vote at General Elections	Labour Party		Don't know		4. Agree	3. Neither agree nor disagree	5. Strongly agree	3. Neither agree nor disagree	3. Neither agree nor disagree	5. Strongly agree	5f2464890be92b026a674d69	false
25/01/2024 18:33	25/01/2024 18:51	100	1103	true	25/01/2024 18:51	R_5ay4UpEnzavD2yH					anonymous	EN	I have read the information above and would like to take part in the survey	6278d1d21fe9f6c30e44e3f1	80				80	90	95	95				95	100			100		100	85			100		95	80				90	90	90		100			100	100		100			100	80		95			90	90				95	90	85			95		95	100	100	36	Female		1. White and Black Caribbean						WA5	15000	In part-time paid work (less than 30 hours a week)		No	60	"3.	Just about getting by"	3. Somewhat dissatisfied	5	Fair	Several days	Several days	Several days	Several days	Several days	Several days	Several days	Several days	Several days	Several days	Several days	Several days	Several days	More than half the days	Several days	Often true	70	60	Having a child	10	I sometimes vote at General Elections	Labour Party		Don't know		3. Neither agree nor disagree	4. Agree	1. Strongly disagree	4. Agree	2. Disagree	4. Agree	6278d1d21fe9f6c30e44e3f1	false
25/01/2024 18:33	25/01/2024 18:52	100	1127	true	25/01/2024 18:52	R_52VLMLe7lFQpVU6					anonymous	EN	I have read the information above and would like to take part in the survey	612919cda20d4d6261eb509f	85			90		90	79			85		85	81				84	86	90		90			93	100				100	100	84			93		94	80			80		80	80	83				82	90				80	89	80				85	85	85	75	35	Female		1. English, Welsh, Scottish, Northern Irish or British						CV37	43000	In full-time paid work (30 or more hours a week)		Yes	25	"3.	Just about getting by"	1. Completely dissatisfied	6	Good	Not at all	Not at all	Several days	Several days	Several days	Several days	Not at all	Not at all	Several days	Several days	Several days	Several days	Not at all	Several days	Not at all	Always true	41	70	Of I were to become pregnant or start a family. 	25	I always vote at General Elections	Labour Party		Labour Party		4. Agree	4. Agree	3. Neither agree nor disagree	4. Agree	2. Disagree	3. Neither agree nor disagree	612919cda20d4d6261eb509f	false
25/01/2024 18:25	25/01/2024 18:52	100	1622	true	25/01/2024 18:52	R_3NDJiIppz6ebjeR					anonymous	EN	I have read the information above and would like to take part in the survey	596e6e5cd7919800014b49b8	100			100		100	56		79			71	82	90				87	95		95			99	70	95				90	80			65		75	82		92			94	72			82		86	75				72	76	19			77		49	70	59	49	Male		1. English, Welsh, Scottish, Northern Irish or British						NR9	35000	In full-time paid work (30 or more hours a week)		No	56	"4.	Finding it quite difficult"	1. Completely dissatisfied	3	Good	Not at all	Not at all	Several days	Several days	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Several days	Not at all	Several days	Not at all	Often true	48	63	big pay rise	27	I always vote at General Elections	Labour Party		Labour Party		1. Strongly disagree	3. Neither agree nor disagree	1. Strongly disagree	4. Agree	3. Neither agree nor disagree	5. Strongly agree	596e6e5cd7919800014b49b8	false
25/01/2024 18:41	25/01/2024 18:53	100	700	true	25/01/2024 18:53	R_1oN3IrVkUnMLosl					anonymous	EN	I have read the information above and would like to take part in the survey	57e7e2cb91b7fc00014953a0	85	90				95	80				70	80	100			90		100	70			65		80	60			75		70	50		80			60	100	60				100	55				75	70	80		25			70	70	50				75	90	65	31	Female		1. English, Welsh, Scottish, Northern Irish or British						LL18	32000	In full-time paid work (30 or more hours a week)		No	40	"3.	Just about getting by"	3. Somewhat dissatisfied	4	Fair	Several days	Several days	More than half the days	Nearly every day	More than half the days	Several days	Several days	Not at all	Nearly every day	More than half the days	More than half the days	Several days	Not at all	Nearly every day	Several days	Often true	30	40	Secure income	20	I always vote at General Elections	Plaid Cymru		Plaid Cymru		4. Agree	4. Agree	4. Agree	3. Neither agree nor disagree	2. Disagree	4. Agree	57e7e2cb91b7fc00014953a0	false
25/01/2024 18:41	25/01/2024 18:53	100	716	true	25/01/2024 18:53	R_4dimukzyor0KXnK					anonymous	EN	I have read the information above and would like to take part in the survey	611c18b919d4b1c691cdf781	74	23				71	93			100		100	54	70				58	69		73			76	53				83	78	86		46			75	81	65				81	58		79			51	70	70				69	47	50				45	75	65	30	Female		1. English, Welsh, Scottish, Northern Irish or British						PR5	75000	In part-time paid work (less than 30 hours a week)		Yes	25	"3.	Just about getting by"	3. Somewhat dissatisfied	4	Very good	Several days	Several days	Not at all	More than half the days	Several days	Several days	Several days	Not at all	More than half the days	Not at all	More than half the days	More than half the days	Several days	Several days	Not at all	Always true	30	71	Losing my job, taking a pay cut, becoming a single parent	40	I always vote at General Elections	Conservative Party		Labour Party		4. Agree	4. Agree	2. Disagree	5. Strongly agree	4. Agree	5. Strongly agree	611c18b919d4b1c691cdf781	false
25/01/2024 18:37	25/01/2024 18:53	100	965	true	25/01/2024 18:53	R_2yjXoRkqLK9CUW4					anonymous	EN	I have read the information above and would like to take part in the survey	601feeebef1d8d544b405e0b	36				72	41	61		66			70	72			48		52	73				84	72	51				37	48	43			49		47	46				42	49	42				75	69	48		37			39	60		50			52	71	63	23	Male		1. English, Welsh, Scottish, Northern Irish or British						ws3	25000	In full-time paid work (30 or more hours a week)		No	41	"2.	Doing alright"	5. Somewhat satisfied	4	Very good	Several days	Several days	Several days	More than half the days	Not at all	Several days	More than half the days	Several days	More than half the days	Several days	Not at all	Not at all	More than half the days	Not at all	Not at all	Always true	96	86	no	45	I always vote at General Elections	Labour Party		Labour Party		1. Strongly disagree	4. Agree	2. Disagree	3. Neither agree nor disagree	4. Agree	3. Neither agree nor disagree	601feeebef1d8d544b405e0b	false
25/01/2024 18:41	25/01/2024 18:53	100	728	true	25/01/2024 18:53	R_8Q0cYUfUVxicpZc					anonymous	EN	I have read the information above and would like to take part in the survey	60fd4821fc7cd347e812248c	75		66			75	90		92			89	70				60	58	80			70		80	96		91			91	71		71			71	100	78				100	74	72				72	91				70	89	74				84	76	79	8	24	Female		1. English, Welsh, Scottish, Northern Irish or British						LS10	49000	In full-time paid work (30 or more hours a week)		No	26	"2.	Doing alright"	5. Somewhat satisfied	6	Very good	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Several days	Not at all	Not at all	Not at all	Not at all	Always true	69	72	N/a	26	I always vote at General Elections	Liberal Democrats		Labour Party		4. Agree	4. Agree	2. Disagree	2. Disagree	4. Agree	4. Agree	60fd4821fc7cd347e812248c	false
25/01/2024 18:38	25/01/2024 18:53	100	892	true	25/01/2024 18:53	R_8aW5fVvoh0RuCx1					anonymous	EN	I have read the information above and would like to take part in the survey	63d421a45ff69db39210f9a0	96		100			100	92			95		97	51	51				50	82	20				29	100	100				100	91				100	100	2	1				2	33				11	12	9		9			9	4		4			3	85	88	47	Female		"1.	Indian"						SL9	20000	A homemaker		Yes	3	"3.	Just about getting by"	2. Mostly dissatisfied	5	Good	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Not at all	Often true	48	52		50	I sometimes vote at General Elections	Conservative Party		Liberal Democrats		5. Strongly agree	4. Agree	5. Strongly agree	4. Agree	4. Agree	4. Agree	63d421a45ff69db39210f9a0	false
